DISTRICT,AREA (ha.) Final estimate,AREA (ha.) Revised final estimate,AREA (ha.) Average last 5 yrs. Yr ending,AREA IRRIGATED(ha.),PRODUCTION (MT) Final estimate,PRODUCTION (MT) Revised final estimate,PRODUCTION (MT) Average last 5 yrs. Yr ending,yield,YIELD (Kg/ha.) Revised final estimate,YIELD (Kg/ha.) Average last 5 yrs. Yr ending,pincode
Barmer,11610,14237,15980,11552,17766,22538,25063,1530,1583,1568,344001
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342001
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342002
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342003
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342004
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342005
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342006
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342007
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342008
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342009
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342010
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342011
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342012
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342013
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342014
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342015
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342016
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342017
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342018
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342019
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342020
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342021
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342022
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342023
JODHPUR REGION,79346,97302,89136,79246,182505,227474,202969,2300,2338,2277,342024
